,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,21.799999,23.375,21.476999,22.657,18.382385,123845000,0.0,0
1,2008-04-07,22.893998999999997,23.618999,22.524,22.860001,18.547087,101227000,0.1647020000000019,1
2,2008-04-14,22.752001,23.922001,21.985001,23.371,19.088041,111323000,0.5409539999999993,1
3,2008-04-21,23.466998999999998,24.525,23.101999,23.739,19.388610999999997,80837000,0.3005699999999969,1
4,2008-04-28,23.931,29.84,23.556998999999998,28.504,23.280375,302078000,3.891764000000002,1
5,2008-05-05,28.212,30.143,28.202,28.684998999999998,23.428213,127747000,0.14783800000000014,1
6,2008-05-12,28.656,29.52,28.059998999999998,28.34,23.146431,96326000,-0.28178199999999975,0
7,2008-05-19,28.351,28.605,27.045,27.322001,22.314991,101728000,-0.8314400000000006,0
8,2008-05-26,27.400999,32.029999,27.283001000000002,30.865,25.20871,235892000,2.893719000000001,1
9,2008-06-02,30.926001,32.0,29.454,29.573,24.153473,286035000,-1.0552369999999982,0
10,2008-06-09,29.709999,29.886,27.641001,29.246,23.886402,157636000,-0.2670710000000014,0
11,2008-06-16,29.198999,29.983999,28.301001,28.400999,23.196251,102810000,-0.6901510000000002,0
12,2008-06-23,28.552999,29.516001,26.704,27.172001,22.192478,178274000,-1.003772999999999,0
13,2008-06-30,27.299999,27.65,25.049999,25.374001,20.723982,126992000,-1.4684960000000018,0
14,2008-07-07,25.679001,26.499001,23.742001000000002,25.735001,21.018829,232299000,0.29484700000000075,1
15,2008-07-14,26.299999,29.096001,24.27,28.086,23.069935,371908000,2.0511060000000008,1
16,2008-07-21,28.414,28.465,25.452999,26.355,21.648087,211021000,-1.4218480000000007,0
17,2008-07-28,26.49,27.200001,22.549,23.726999,19.489435,378626000,-2.158652,0
18,2008-08-04,23.299,24.0,22.1,23.212999,19.067235999999998,195933000,-0.42219900000000266,0
19,2008-08-11,23.257,24.035,22.791,23.895,19.627436,120149000,0.5602000000000018,1
20,2008-08-18,24.055,24.49,23.32,24.164,19.848387,98365000,0.22095099999999945,1
21,2008-08-25,24.004,24.34,23.157,24.254998999999998,19.92314,77443000,0.07475300000000118,1
22,2008-09-01,24.587999,24.799999,20.792999,22.143998999999997,18.189154000000002,150661000,-1.733985999999998,0
23,2008-09-08,23.035999,23.1,20.52,22.382,18.384647,179317000,0.19549299999999903,1
24,2008-09-15,21.306,23.9,18.207001,22.518,18.496361,302465000,0.1117139999999992,1
