Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,31.084999,33.599998,30.897499,33.415001,24.183664,49242800
2008-04-07,33.727501,33.750000,32.009998,32.552502,23.559441,42599200
2008-04-14,32.552502,34.705002,32.452499,34.520000,24.983387,64196800
2008-04-21,34.400002,35.312500,33.222500,35.147499,25.437534,64337600
2008-04-28,35.157501,37.165001,34.869999,36.720001,26.575613,75655600
2008-05-05,37.145000,37.342499,36.102501,36.570000,26.467052,36100000
2008-05-12,36.654999,39.037498,36.250000,38.250000,27.682928,46874400
2008-05-19,38.750000,39.912498,37.560001,38.040001,27.530949,68870400
2008-05-26,38.277500,41.305000,37.857498,41.154999,29.785387,63283800
2008-06-02,41.060001,41.380001,38.950001,38.974998,28.207630,50033600
2008-06-09,39.275002,40.000000,37.020000,37.785000,27.498180,62566400
2008-06-16,37.610001,39.290001,35.950001,38.439999,27.974854,86888200
2008-06-23,38.680000,38.680000,36.139999,36.915001,26.865030,47719000
2008-06-30,36.935001,38.029999,34.805000,35.424999,25.780680,44642400
2008-07-07,35.645000,37.369999,34.645000,35.959999,26.170033,50784200
2008-07-14,36.325001,37.215000,33.950001,36.270000,26.395639,57768000
2008-07-21,36.490002,39.895000,35.924999,38.744999,28.196825,45891400
2008-07-28,39.044998,42.125000,38.009998,39.720001,28.906384,62354200
2008-08-04,39.750000,41.799999,39.730000,41.590000,30.267284,48308400
2008-08-11,41.575001,41.654999,36.764999,38.435001,27.971216,73851400
2008-08-18,38.695000,40.575001,38.084999,39.775002,28.946413,43447600
2008-08-25,39.980000,42.474998,39.195000,41.950001,30.529274,41664800
2008-09-01,42.224998,42.900002,36.139999,37.730000,27.642168,63825800
2008-09-08,38.884998,39.400002,35.125000,38.900002,28.499342,85195400
2008-09-15,38.014999,40.025002,34.759998,38.365002,28.107382,114197000
2008-09-22,38.355000,38.494999,35.500000,36.634998,26.839937,60496400
2008-09-29,36.095001,36.285000,30.200001,30.905001,22.641960,87477000
2008-10-06,29.684999,32.705002,25.875000,29.000000,21.246296,99811200
2008-10-13,30.290001,33.125000,25.620001,27.745001,20.326845,103425000
2008-10-20,28.530001,30.559999,26.555000,29.139999,21.348862,72752400
2008-10-27,28.719999,33.994999,27.260000,33.384998,24.458881,65393800
2008-11-03,33.345001,34.875000,29.620001,30.495001,22.341583,69019000
2008-11-10,31.500000,31.920000,27.080000,28.635000,20.978891,77596400
2008-11-17,28.320000,29.459999,21.889999,23.750000,17.399979,97473600
2008-11-24,24.180000,25.995001,22.799999,25.020000,18.330427,65694800
2008-12-01,24.809999,24.809999,22.430000,23.745001,17.586178,66415200
2008-12-08,24.320000,25.705000,20.920000,21.405001,15.853106,94646800
2008-12-15,21.665001,24.959999,21.025000,23.135000,17.134398,73901200
2008-12-22,23.285000,23.975000,22.879999,23.485001,17.393606,21255800
2008-12-29,23.400000,25.200001,22.450001,25.065001,18.563805,27268600
2009-01-05,25.344999,27.330000,23.715000,24.059999,17.819468,61443800
2009-01-12,23.969999,24.264999,19.424999,20.209999,14.968060,96962200
2009-01-19,19.990000,21.955000,18.775000,21.250000,15.738312,75629200
2009-01-26,21.320000,23.730000,20.855000,21.895000,16.216011,59759600
2009-02-02,21.504999,25.000000,21.070000,24.635000,18.245335,59178200
2009-02-09,24.665001,24.799999,20.805000,21.754999,16.112324,69427000
2009-02-16,21.280001,21.280001,19.110001,20.014999,14.823636,58518000
2009-02-23,20.170000,20.395000,18.025000,18.760000,13.894151,68539200
2009-03-02,18.415001,19.275000,16.885000,17.490000,13.131316,78991800
2009-03-09,17.280001,19.129999,16.639999,18.590000,13.957185,63929400
2009-03-16,19.350000,20.440001,18.860001,19.344999,14.524030,63423200
2009-03-23,19.760000,22.315001,19.719999,21.500000,16.141981,64942000
2009-03-30,20.705000,23.195000,19.910000,23.045000,17.301954,75451400
2009-04-06,22.840000,23.385000,21.139999,23.150000,17.380787,49008200
2009-04-13,22.995001,24.879999,22.500000,24.145000,18.127821,64811000
2009-04-20,23.754999,25.200001,22.575001,24.565001,18.443165,65952600
2009-04-27,24.245001,25.645000,22.860001,24.990000,18.762241,58277200
2009-05-04,25.010000,26.985001,25.010000,25.719999,19.310316,64860200
2009-05-11,25.350000,25.590000,22.785000,23.290001,17.485897,56127600
2009-05-18,23.545000,25.200001,22.790001,23.080000,17.328232,44591000
2009-05-25,23.209999,24.660000,22.000000,24.635000,18.495712,54240400
2009-06-01,25.320000,27.410000,24.889999,26.900000,20.426535,54704200
2009-06-08,26.475000,27.725000,26.240000,27.180000,20.639153,38596600
2009-06-15,27.000000,27.000000,25.135000,26.000000,19.743113,43693400
2009-06-22,25.785000,26.775000,24.180000,26.650000,20.236696,49389400
2009-06-29,26.825001,26.889999,25.389999,25.450001,19.325470,28740200
2009-07-06,25.245001,25.514999,23.735001,25.184999,19.124239,43814800
2009-07-13,25.285000,28.764999,24.545000,28.415001,21.576946,44516200
2009-07-20,28.610001,31.110001,28.135000,28.995001,22.017368,58574400
2009-07-27,28.905001,29.170000,27.309999,28.760000,21.838926,37314800
2009-08-03,29.379999,31.375000,29.004999,30.684999,23.300669,39148000
2009-08-10,30.520000,30.754999,29.075001,30.410000,23.091854,35152800
2009-08-17,29.860001,31.260000,29.155001,30.975000,23.520889,29516400
2009-08-24,31.025000,31.174999,29.549999,30.315001,23.019720,28720600
2009-08-31,30.045000,31.215000,29.135000,31.020000,23.767620,35827600
2009-09-07,31.370001,32.230000,30.799999,31.275000,23.963001,35910800
2009-09-14,31.010000,32.375000,30.745001,31.200001,23.905537,36482600
2009-09-21,30.955000,31.309999,29.570000,29.750000,22.794544,30294600
2009-09-28,30.084999,30.330000,28.530001,28.690001,21.982363,42660600
2009-10-05,28.715000,30.035000,28.594999,29.895000,22.905642,31775600
2009-10-12,29.945000,31.895000,29.395000,31.764999,24.338442,39082600
2009-10-19,31.924999,32.474998,28.209999,28.865000,22.116449,75129600
2009-10-26,28.980000,29.500000,27.375000,27.570000,21.124214,72383800
2009-11-02,27.610001,31.570000,27.100000,31.180000,23.890207,104012200
2009-11-09,31.075001,31.840000,30.650000,31.775000,24.346102,49325400
2009-11-16,31.805000,33.035000,31.785000,32.525002,24.920753,42686000
2009-11-23,33.049999,33.365002,31.184999,31.594999,24.208189,26314000
2009-11-30,31.705000,33.000000,31.350000,32.610001,25.197130,38995400
2009-12-07,32.669998,32.785000,31.270000,32.090000,24.795332,39030000
2009-12-14,32.345001,32.700001,31.424999,31.690001,24.486265,33297200
2009-12-21,31.975000,33.195000,31.905001,33.115002,25.587337,15516000
2009-12-28,33.099998,33.110001,31.900000,31.950001,24.687159,10638400
2010-01-04,32.290001,34.174999,32.235001,34.020000,26.286608,30726600
2010-01-11,34.250000,34.330002,32.544998,32.785000,25.332344,34950200
2010-01-18,32.860001,33.740002,30.959999,31.924999,24.667843,51805800
2010-01-25,32.290001,32.360001,30.205000,30.250000,23.373602,42669800
2010-02-01,30.415001,31.945000,30.375000,31.049999,23.991749,34397800
2010-02-08,31.090000,31.924999,30.320000,31.705000,24.497854,35400200
2010-02-15,32.000000,33.375000,31.740000,33.285000,25.718693,28448800
2010-02-22,33.299999,34.285000,32.735001,33.685001,26.027767,47895800
2010-03-01,33.869999,34.660000,33.465000,34.564999,26.926737,35919800
2010-03-08,34.654999,36.529999,34.529999,36.500000,28.434137,49419200
2010-03-15,36.400002,37.174999,36.125000,36.619999,28.527617,42446800
2010-03-22,36.415001,37.134998,36.040001,36.330002,28.301708,33023600
2010-03-29,36.494999,37.125000,36.270000,36.825001,28.687319,21889200
2010-04-05,36.884998,37.990002,36.134998,37.875000,29.505285,36687800
2010-04-12,37.904999,38.799999,37.195000,37.974998,29.583178,37163400
2010-04-19,37.875000,39.014999,37.375000,38.549999,30.031122,41069600
2010-04-26,38.520000,39.305000,37.750000,37.830002,29.470232,42804400
2010-05-03,37.950001,38.779999,33.805000,35.535000,27.682388,44204600
2010-05-10,36.599998,38.514999,36.599998,37.090000,28.893759,37544600
2010-05-17,37.279999,37.529999,32.994999,34.875000,27.168232,54122400
2010-05-24,34.709999,36.064999,33.584999,35.715000,27.822607,48988000
2010-05-31,35.279999,37.080002,34.500000,34.665001,27.267088,46172000
2010-06-07,34.970001,36.840000,33.990002,36.775002,28.926794,39655800
2010-06-14,37.150002,38.259998,36.294998,38.185001,30.035883,40196800
2010-06-21,38.630001,39.174999,35.855000,36.360001,28.600357,45527000
2010-06-28,36.549999,36.810001,33.915001,34.185001,26.889532,44537800
2010-07-05,34.980000,36.055000,33.455002,35.855000,28.203129,37967800
2010-07-12,35.634998,37.049999,34.230000,34.404999,27.062571,42969400
2010-07-19,34.595001,37.165001,33.419998,36.950001,29.064445,49790200
2010-07-26,37.279999,38.244999,36.404999,37.334999,29.367271,37168800
2010-08-02,37.904999,38.895000,37.410000,38.520000,30.299389,26368000
2010-08-09,38.794998,39.115002,36.255001,36.724998,28.887461,25682400
