,symbol,cluster
397,PBCT,103
398,KSU,97
399,DVA,21
400,MA,44
401,HBI,103
402,HON,33
403,O,98
404,TTWO,112
405,AES,90
406,SLB,99
407,XRX,7
408,TGT,33
409,AAPL,100
410,MKC,101
411,WY,9
412,APD,102
413,GRMN,58
414,AEE,103
415,DLTR,16
416,HAS,2
417,WMT,104
418,NTAP,36
419,BBT,91
420,KIM,18
421,BAX,79
422,LMT,64
423,KEY,97
424,UNM,58
425,BMY,66
426,PSA,42
427,WYNN,90
428,RHI,27
429,EFX,105
430,NUE,4
431,PKG,106
432,NBL,49
433,CTSH,69
434,SWK,107
435,MU,108
436,TRV,109
437,BRK-B,97
438,L,54
439,VIAB,102
440,AEP,41
441,CI,110
442,JNJ,86
443,WM,87
444,DOV,88
445,FTI,65
446,AGN,111
447,M,112
448,TSS,113
449,CRM,62
450,PGR,114
451,WAT,61
452,BWA,75
453,LRCX,81
454,NWL,110
455,UAA,68
456,BLK,115
457,PPL,45
